text,aspectTerms/aspectTerm/0/_term,aspectTerms/aspectTerm/0/_polarity,aspectTerms/aspectTerm/0/_from,aspectTerms/aspectTerm/0/_to,aspectCategories/aspectCategory/0/_category,aspectCategories/aspectCategory/0/_polarity,_id,aspectCategories/aspectCategory/1/_category,aspectCategories/aspectCategory/1/_polarity,aspectTerms/aspectTerm/1/_term,aspectTerms/aspectTerm/1/_polarity,aspectTerms/aspectTerm/1/_from,aspectTerms/aspectTerm/1/_to,aspectTerms/aspectTerm/2/_term,aspectTerms/aspectTerm/2/_polarity,aspectTerms/aspectTerm/2/_from,aspectTerms/aspectTerm/2/_to,aspectTerms/aspectTerm/3/_term,aspectTerms/aspectTerm/3/_polarity,aspectTerms/aspectTerm/3/_from,aspectTerms/aspectTerm/3/_to,aspectTerms/aspectTerm/4/_term,aspectTerms/aspectTerm/4/_polarity,aspectTerms/aspectTerm/4/_from,aspectTerms/aspectTerm/4/_to,aspectTerms/aspectTerm/5/_term,aspectTerms/aspectTerm/5/_polarity,aspectTerms/aspectTerm/5/_from,aspectTerms/aspectTerm/5/_to,aspectTerms/aspectTerm/6/_term,aspectTerms/aspectTerm/6/_polarity,aspectTerms/aspectTerm/6/_from,aspectTerms/aspectTerm/6/_to,aspectCategories/aspectCategory/2/_category,aspectCategories/aspectCategory/2/_polarity,aspectTerms/aspectTerm/7/_term,aspectTerms/aspectTerm/7/_polarity,aspectTerms/aspectTerm/7/_from,aspectTerms/aspectTerm/7/_to,aspectCategories/aspectCategory/3/_category,aspectCategories/aspectCategory/3/_polarity,aspectTerms/aspectTerm/8/_term,aspectTerms/aspectTerm/8/_polarity,aspectTerms/aspectTerm/8/_from,aspectTerms/aspectTerm/8/_to
"The rest of the dim sum, though pricey by Chinatown standards, is worth it.",dim sum,conflict,16,23,food,positive,2102,price,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good food.,food,positive,5,9,food,positive,2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The wait staff is very friendly, if not overly efficient.",wait staff,positive,4,14,service,positive,964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surprisingly nothing could be further from the truth.,,,,,anecdotes/miscellaneous,positive,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The dim sum however was very good.,dim sum,positive,4,11,food,positive,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's better than being on the roof of Sutton Place with 19 year old interns jabbing you in the ribs all night.,,,,,anecdotes/miscellaneous,positive,2674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service has always been friendly and efficient.,Service,positive,0,7,service,positive,2501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Went there and had a combination of different seafood dishes and appetizers.,seafood dishes,neutral,46,60,food,neutral,2222,,,appetizers,neutral,65,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Its a great place for a casual date or to entertain clients for lunch.,lunch,neutral,64,69,anecdotes/miscellaneous,positive,2786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All we received was an apology as we left to see our show without dinner.,dinner,neutral,66,72,service,negative,773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived.,bottle of wine,neutral,84,98,service,negative,368,,,grapes,neutral,45,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices are very good.,Prices,positive,0,6,price,positive,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We could not catch our waiter's eye, and he ignored us.",waiter,negative,23,29,service,negative,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantastic place.,,,,,anecdotes/miscellaneous,positive,3075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain and simple it's bad thai food.,thai food,negative,26,35,food,negative,1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitely not a restaurant to skip!,,,,,anecdotes/miscellaneous,positive,3664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They refuse to seat parties of 3 or more on weekends.,,,,,service,negative,3128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usually 3 vs. 4 items per dish.,dish,neutral,26,30,food,neutral,2097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"While certain staples are excellent (the burger, some of the pastas), the food is not really the point.",burger,positive,41,47,food,conflict,1705,,,pastas,positive,61,67,food,neutral,74,78,staples,positive,14,21,,,,,,,,,,,,,,,,,,,,,,,,
"The Dim Sum was so-so, but not spectacular.",Dim Sum,neutral,4,11,food,neutral,3145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food was so-so.,food,neutral,4,8,food,neutral,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The waitress, seems to be more concerned of looking good than actually waitressing.",waitress,negative,4,12,service,negative,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention.",seating,positive,52,59,ambience,positive,3085,,,bar,positive,90,93,place,positive,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What a ripoff!,,,,,price,negative,1448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Threw my fiance's surprise 30th birthday dinner here couldn't be happier.,dinner,neutral,41,47,anecdotes/miscellaneous,positive,1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can do it here.,,,,,anecdotes/miscellaneous,neutral,1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food-awesome.,Food,positive,0,4,food,positive,1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"good music, great food, speedy service affordable prices.",music,positive,5,10,food,positive,2512,service,positive,food,positive,18,22,service,positive,31,38,prices,positive,50,56,,,,,,,,,,,,,ambience,positive,,,,,price,positive,,,,
"There was a small wait, but shorter than I expected.",wait,conflict,18,22,anecdotes/miscellaneous,conflict,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,lobster sandwich,conflict,4,20,price,negative,3441,food,conflict,price,negative,94,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May, the owner always has a smile on her and will warmly greet you.",owner,positive,9,14,service,positive,3260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I've lived in NY for 5 years and this place has it all.,,,,,anecdotes/miscellaneous,positive,2910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I just read Mocaramel's review and felt compelled to respond.,,,,,anecdotes/miscellaneous,neutral,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The sides were ok and incredibly salty.,sides,negative,4,9,food,negative,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It hits the spot every time,,,,,anecdotes/miscellaneous,positive,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For some reason, all the seafood on the menu was unavailable except for the Salmon.",seafood,negative,25,32,food,negative,797,,,menu,negative,40,44,Salmon,neutral,76,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Not a large place, but it's cute and cozy.",place,conflict,12,17,ambience,conflict,2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't be fooled by crowds of people.,,,,,anecdotes/miscellaneous,negative,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and there's no way out.,,,,,anecdotes/miscellaneous,neutral,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The beverages were excellent, and the dessert was good.",beverages,positive,4,13,food,positive,2900,,,dessert,positive,38,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The hostess and the waitress were incredibly rude and did everything they could to rush us out.,hostess,negative,4,11,service,negative,3122,,,waitress,negative,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.",Asian appetizers,positive,74,90,food,conflict,719,,,drinks,positive,95,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Please if your thinking about it go, and stay the wait you won't be disappointed.",wait,negative,50,54,anecdotes/miscellaneous,conflict,3669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I must say the view of NYC is so beautiful!,view,positive,15,19,ambience,positive,3295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you'd like to have a nice light meal with an asian accent, Long Tan is a good place on the slope.",meal,positive,35,39,food,positive,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When going out for a nice dinner, I like a nice ambiance as well as very good food.",dinner,positive,26,32,anecdotes/miscellaneous,neutral,2896,,,ambiance,positive,48,56,food,positive,78,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For all you lazy folks that don't want to come to Alphabet City, I say, good - stay out.",,,,,anecdotes/miscellaneous,neutral,2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Otherwise, this place has great service and prices and a nice friendly atmosphere.",service,positive,32,39,service,positive,1652,ambience,positive,prices,positive,44,50,atmosphere,positive,71,81,,,,,,,,,,,,,,,,,price,positive,,,,,,,,,,
Highly recommend this as great value for excellent sushi and service.,sushi,positive,51,56,food,positive,2128,service,positive,service,positive,61,68,value,positive,31,36,,,,,,,,,,,,,,,,,price,positive,,,,,,,,,,
This place would be so much better served by being run by a group that actually understands customer service.,service,negative,101,108,service,negative,2835,,,served,negative,35,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A++   The service was good to excellent along with the attitude.,service,positive,10,17,service,positive,778,,,attitude,positive,55,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This is my fourth try over a two year period, and I'm done.",,,,,anecdotes/miscellaneous,negative,3029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is awesome - definitely try the striped bass.,food,positive,4,8,food,positive,1672,,,striped bass,positive,41,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as I did, I got a whiff of corriander.",music,conflict,4,9,ambience,conflict,1125,,,corriander,neutral,136,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black white shakes came out good also.,black white shakes,positive,0,18,food,positive,3694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's simply the best meal in NYC.,meal,positive,21,25,anecdotes/miscellaneous,positive,2721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probably would not go again...,,,,,anecdotes/miscellaneous,negative,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After passing by this restaurant for sometime I finally decided to go in and have dinner.,dinner,neutral,82,88,anecdotes/miscellaneous,neutral,954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The seating was if they were trying to get the maximum amount of people into the restaurant, so be nice to your neighbor when you dine here.",seating,negative,4,11,ambience,negative,2452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ordered the chu chu curry and my friend ordered the pad thai chicken.,chu chu curry,neutral,14,27,food,neutral,1250,,,pad thai chicken,neutral,54,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon.,food,neutral,63,67,food,neutral,3234,,,prix fixe,neutral,25,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuk Tuk is my second favorite neighborhood Thai place (the first being Joya).,,,,,anecdotes/miscellaneous,positive,2494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"However, they've got the most amazing pastrami and the soups hit the spot.",pastrami,positive,38,46,food,positive,1533,,,soups,positive,55,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great bagels made the old-fashioned way.,bagels,positive,6,12,food,positive,1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This is some really good, inexpensive sushi.",sushi,positive,38,43,food,positive,1784,price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"my personal favorite is an everything bagel with lox spread, but all the bagles are unbeliavably good.",bagel with lox spread,positive,38,59,food,positive,2178,,,bagles,positive,73,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",food,negative,46,50,food,negative,1689,,,quality of food,negative,80,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated.,lobby area,negative,53,63,service,negative,771,,,seated,negative,156,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The pizza is delicious and the proprietor is one of the nicest in NYC.,pizza,positive,4,9,food,positive,3370,service,positive,proprietor,positive,31,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Also good for client lunch meetings, esp.",lunch meetings,neutral,21,35,anecdotes/miscellaneous,positive,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For $600 ( the most we have ever paid) not even waving a magic wand will ever get us back for a repeat performance.,,,,,price,negative,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.",decor,positive,4,9,ambience,positive,3535,price,positive,prices,positive,104,110,food's presentation,positive,48,67,,,,,,,,,,,,,,,,,food,positive,,,,,,,,,,
The Waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal.,Waitstaff,positive,4,13,food,positive,2449,service,positive,swordfish,positive,43,52,meal,positive,83,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The setting is casual and romantic.,setting,positive,4,11,ambience,positive,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT WAS HORRIBLE.,,,,,anecdotes/miscellaneous,negative,3598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Terrible, terrible management - deserves to be shut-down.",management,negative,19,29,service,negative,2840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",service,positive,15,22,food,positive,1034,service,positive,seating,positive,29,36,Delivery,positive,43,51,sushi,positive,63,68,,,,,,,,,,,,,,,,,,,,,,,,
The desserts are more appealing then stuffy overpriced French restaurants.,desserts,positive,4,12,food,positive,2709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Italian food has flavor (that can be sort of surprising on the UES), and the service turns from a nightmare to attentive,they sort of remind me of the NY Yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner...",Italian food,positive,4,16,food,positive,2734,service,conflict,service,conflict,81,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",,,,,service,conflict,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I found the food to be outstanding, particulary the salmon dish I had.",food,positive,12,16,food,positive,3654,,,salmon dish,positive,52,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizu is home to creative and unique rolls not to found anywhere else.,rolls,positive,36,41,food,positive,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The New York Times has reviewed this place three times already, you know it's going to be good.",,,,,anecdotes/miscellaneous,positive,2515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baluchi's has solid food and a nice decor at reasonable prices.,food,positive,20,24,food,positive,3320,ambience,positive,decor,positive,36,41,prices,positive,56,62,,,,,,,,,,,,,,,,,price,positive,,,,,,,,,,
"Emilio, the owner, is often sitting in the front table greeting guests as they come and go.",owner,positive,12,17,service,positive,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have been to spice three times- twice during lunch and once at dinner.,lunch,neutral,47,52,anecdotes/miscellaneous,neutral,2397,,,dinner,neutral,65,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moules were excellent, lobster ravioli was VERY salty!",Moules,positive,0,6,food,conflict,511,,,lobster ravioli,negative,23,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I came to this restaurant expecting to be surprised but left bored and overcharged.,,,,,anecdotes/miscellaneous,negative,1203,price,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A cheap eat for NYC, but not for dosa.",dosa,negative,33,37,price,conflict,1077,,,eat,positive,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,atmosphere,negative,4,14,service,conflict,133,ambience,negative,waiters,conflict,32,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",seafood,positive,4,11,food,positive,3230,,,wine list,positive,39,48,menu,positive,72,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i don't usually order wine with indian so i can't comment on their wine list or their wines.,wine,neutral,22,26,food,neutral,2905,,,indian,neutral,32,38,wine list,neutral,67,76,wines,neutral,86,91,,,,,,,,,,,,,,,,,,,,,,,,
Pastrami or corned beef are juicy and piled high (ask for extra rye bread).,Pastrami or corned beef,positive,0,23,food,positive,491,,,rye bread,positive,64,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks).",glasses of champagne,negative,12,32,price,negative,2001,,,bottle of wine,negative,52,66,after dinner drinks,negative,73,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Really though, where's the seasoning?",seasoning,negative,27,36,food,negative,1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The food was just OK, at least for what food was available.",food,neutral,4,8,food,negative,796,,,food,negative,40,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by dinner time, they turn it around and mount a huge comeback!!",,,,,anecdotes/miscellaneous,positive,2733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The waitress was very patient with us and the food is phenomenal!,waitress,positive,4,12,food,positive,178,service,positive,food,positive,46,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The ambience was nice, but service wasn't so great.",ambience,positive,4,12,service,negative,2627,ambience,positive,service,negative,27,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.",wine list,positive,6,15,food,positive,2946,service,positive,staff,positive,31,36,owners,positive,47,53,menu,positive,88,92,,,,,,,,,,,,,,,,,,,,,,,,
The people that work there are always so friendly you forget you are in New York sometimes.,people,positive,4,10,service,positive,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We didn't even see a menu, as our waiter described both the specials and the main dishes.",menu,neutral,21,25,service,positive,1616,,,main dishes,neutral,77,88,waiter,positive,34,40,specials,neutral,60,68,,,,,,,,,,,,,,,,,,,,,,,,
The location and ambience is Ok but the food is what makes up for it.,location,neutral,4,12,food,positive,3189,ambience,neutral,ambience,neutral,17,25,food,positive,40,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"otherwise, good stuff for late nite eats.",stuff,positive,16,21,food,positive,3693,,,eats,positive,36,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The dinner was ok, nothing I would have again.",dinner,negative,4,10,food,negative,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It is thick and slightly soggy.,,,,,food,negative,1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Its not the same if you have to sit inside.,,,,,ambience,neutral,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I love and I know gourmet food by excellence!,gourmet food,positive,18,30,food,positive,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I plan to come here again and look forward to trying their assortment of bruschetta, panini's.....",bruschetta,positive,73,83,food,positive,541,anecdotes/miscellaneous,positive,panini,positive,85,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great people watching as others do the same to you.,,,,,ambience,positive,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maybe it was just an unintentional mistake but I've experienced the same with other restaurants so I don't appreciate such practice.,,,,,anecdotes/miscellaneous,negative,3542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Two people in our party felt like something else, and Volare immediately obliged with two great dishes that were not in their regular menu.",dishes,positive,96,102,service,positive,1617,food,positive,menu,neutral,134,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
He offers subpar service and has no personality.,service,negative,17,24,service,negative,3322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.",waitress,positive,4,12,service,positive,1022,food,positive,fried mini buns with the condensed milk and the assorted fruits on beancurd,positive,92,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm going back.,,,,,anecdotes/miscellaneous,positive,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diner food at bistro prices is a bummer....,food,negative,6,10,price,negative,1711,,,prices,negative,21,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My friends and I have been going here regularly for two years.,,,,,anecdotes/miscellaneous,neutral,2179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wow! how have i missed this one ,tried Long Tan last week for the first time and now know what the NY TIMES and many more in the neighborhood already knew.",,,,,anecdotes/miscellaneous,positive,1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Go there on an empty stomach and leave feeling like a baby Veal Calf(ok bad joke), but you will see.",,,,,anecdotes/miscellaneous,positive,2723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"While we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.",food,positive,32,36,ambience,negative,2012,food,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Me and my girls will definitely go back.,,,,,anecdotes/miscellaneous,positive,1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The first time the sushi was outstanding, the second time it was a little bland.",sushi,conflict,19,24,food,conflict,3024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The portions are large and the servers always surprise us with a different starter.,portions,positive,4,12,food,positive,1622,service,positive,servers,positive,31,38,starter,positive,75,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"delicious bagels, especially when right out of the oven.",bagels,positive,10,16,food,positive,1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ive passed by the spot tons of times always wanting to go in.,,,,,anecdotes/miscellaneous,neutral,2347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All the food was hot tasty.,food,positive,8,12,food,positive,3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have been several times and it never dissapoints.,,,,,anecdotes/miscellaneous,positive,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is one great place to eat pizza more out but not a good place for take-out pizza.,pizza,positive,31,36,food,conflict,447,,,take-out pizza,negative,71,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our server was very helpful and friendly.,server,positive,4,10,service,positive,1592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Try green curry with vegetables.,green curry with vegetables,positive,4,31,food,positive,3191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Would recommend this place as a good date spot if you don't want to drop a ton of cash.,,,,,anecdotes/miscellaneous,positive,3433,price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
While I'm not sure that this happens all the time-this is the kind of treatment that buys repeat business!,,,,,service,positive,2134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This place was not ALL THAT!,,,,,anecdotes/miscellaneous,negative,2947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",place,negative,19,24,ambience,negative,2770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.",door,neutral,49,53,ambience,positive,1989,service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Much more reasonably priced too!,priced,positive,21,27,price,positive,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.",,,,,anecdotes/miscellaneous,neutral,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The food was not very tasty, the portioins were tiny even for such a high quality restaurant.",food,negative,4,8,food,negative,3278,,,portioins,negative,33,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My friend from Milan and myself were pleasantly surprised when we arrived and everyone spoke italian.,,,,,anecdotes/miscellaneous,positive,2789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others have to go to other restaurants and feel sad until they're eaten.,,,,,anecdotes/miscellaneous,neutral,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why make a reservation if you aren't going to keep it?,reservation,negative,11,22,service,negative,1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Pad Thai is excellent here, as well.",Pad Thai,positive,4,12,food,positive,2497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big and gawky on the outside.,,,,,ambience,negative,2705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have been to Mary's many times and I like it.,,,,,anecdotes/miscellaneous,positive,3105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Searching to get out from the cold, freezing weather, we went into what we thought was a deli.",,,,,anecdotes/miscellaneous,negative,1495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.,lunch specials,negative,19,33,food,negative,3039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGHLY RECOMMENDED!!!!!,,,,,anecdotes/miscellaneous,positive,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is the best thing in Soho.,,,,,anecdotes/miscellaneous,positive,2446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Went here last night and had a pleasant experience.,,,,,anecdotes/miscellaneous,positive,3429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
